model,suite,task_id,episode_id,task_description,perturbation,clean_success,corrupt_success,clean_ratio,corrupt_ratio,clean_iou,corrupt_iou,delta_success,delta_visual_ratio,delta_iou,vci,gri,delta_ratio_early,delta_iou_early,delta_ratio_mid,delta_iou_mid,delta_ratio_late,delta_iou_late,delta_ratio_slope,delta_iou_slope
DreamZero,libero_90_act,2,0,pick up the ketchup and put it in the basket,random,0.0,0.0,0.5732801698305736,0.57290414803329,,,0.0,-0.00037602179728357665,,-0.00037602179728357665,,-0.007039284663315271,,-0.004183848150771219,,0.010389425865418134,,0.017428710528733404,
DreamZero,libero_90_act,2,0,pick up the ketchup and put it in the basket,synonym,0.0,1.0,0.5732801698305736,0.5349072015676023,,,1.0,-0.03837296826297132,,-0.03837296826297132,,-0.05004720821470898,,-0.029912646792589315,,-0.03494128399843488,,0.015105924216274103,
DreamZero,libero_90_act,2,0,pick up the ketchup and put it in the basket,shuffle,0.0,1.0,0.5732801698305736,0.5353655125447022,,,1.0,-0.0379146572858714,,-0.0379146572858714,,-0.03696441032859188,,-0.04710297930423424,,-0.02938222378160571,,0.007582186546986169,
DreamZero,libero_90_act,2,0,pick up the ketchup and put it in the basket,opposite,0.0,1.0,0.5732801698305736,0.552861653936125,,,1.0,-0.020418515894448652,,-0.020418515894448652,,-0.025079501940965088,,-0.024604608680044104,,-0.010649526235311568,,0.01442997570565352,
DreamZero,libero_90_act,2,1,pick up the ketchup and put it in the basket,empty,0.0,0.0,0.5608341426633642,0.5766029744180812,,,0.0,0.015768831754716994,,0.015768831754716994,,0.018734070745859754,,0.022925734262855713,,0.005907939625018344,,-0.01282613112084141,
DreamZero,libero_90_act,2,1,pick up the ketchup and put it in the basket,random,0.0,0.0,0.5608341426633642,0.5737738435090969,,,0.0,0.012939700845732705,,0.012939700845732705,,0.02004113555877296,,0.017200671561857228,,0.0015772954165677033,,-0.018463840142205257,
DreamZero,libero_90_act,2,1,pick up the ketchup and put it in the basket,synonym,0.0,0.0,0.5608341426633642,0.5559472609726817,,,0.0,-0.004886881690682521,,-0.004886881690682521,,-0.006078752478922422,,0.007678622662890211,,-0.01579923711994813,,-0.009720484641025706,
DreamZero,libero_90_act,2,1,pick up the ketchup and put it in the basket,shuffle,0.0,0.0,0.5608341426633642,0.5612789810368786,,,0.0,0.00044483837351438904,,0.00044483837351438904,,-0.007444034100289487,,0.004524259432825639,,0.005970271604301969,,0.013414305704591456,
DreamZero,libero_90_act,2,1,pick up the ketchup and put it in the basket,opposite,0.0,0.0,0.5608341426633642,0.5841668815788472,,,0.0,0.023332738915483042,,0.023332738915483042,,0.022749539085950454,,0.028476110102216956,,0.02037382730540771,,-0.002375711780542744,
DreamZero,libero_90_act,3,0,pick up the tomato sauce and put it in the basket,empty,0.0,0.0,0.5679702761410593,0.575340322888564,,,0.0,0.007370046747504633,,0.007370046747504633,,0.006240307132459155,,0.0056982060344704655,,0.01003604633117472,,0.003795739198715564,
DreamZero,libero_90_act,3,0,pick up the tomato sauce and put it in the basket,random,0.0,0.0,0.5679702761410593,0.573995895123104,,,0.0,0.006025618982044678,,0.006025618982044678,,9.975910244230946e-05,,0.016533036511206967,,0.0011866159519327013,,0.0010868568494903919,
DreamZero,libero_90_act,3,0,pick up the tomato sauce and put it in the basket,synonym,0.0,0.0,0.5679702761410593,0.5465201304290672,,,0.0,-0.021450145711992108,,-0.021450145711992108,,-0.01967952252625471,,-0.01773388232767159,,-0.027229972040729078,,-0.007550449514474367,
DreamZero,libero_90_act,3,0,pick up the tomato sauce and put it in the basket,shuffle,0.0,0.0,0.5679702761410593,0.5695329294675174,,,0.0,0.0015626533264581077,,0.0015626533264581077,,-0.007313457057683825,,0.004649332139422757,,0.008358832497106339,,0.015672289554790164,
DreamZero,libero_90_act,3,0,pick up the tomato sauce and put it in the basket,opposite,0.0,0.0,0.5679702761410593,0.5793849831318414,,,0.0,0.011414706990782064,,0.011414706990782064,,0.007519008578288022,,0.02264294821420032,,0.004082164179857628,,-0.0034368443984303942,
DreamZero,libero_90_act,3,1,pick up the tomato sauce and put it in the basket,empty,0.0,0.0,0.5749120369993078,0.5787347466919791,,,0.0,0.003822709692671289,,0.003822709692671289,,0.010966534972257191,,-0.019402568943609033,,0.020171417893640853,,0.009204882921383661,
