model,suite,prompt_mode,task_id,episode_id,prompt_used,success,ratio_mean,iou_mean,sources
DreamZero,libero_90_act,empty,2,0,,0.0,0.5749949615891828,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,2,0,,1.0,0.552861653936125,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,2,0,,0.0,0.5732801698305736,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,2,0,,0.0,0.57290414803329,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,shuffle,2,0,,1.0,0.5353655125447022,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_shuffle/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,synonym,2,0,,1.0,0.5349072015676023,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_synonym/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,empty,2,1,,0.0,0.5766029744180812,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_empty/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,opposite,2,1,,0.0,0.5841668815788472,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_opposite/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,original,2,1,,0.0,0.5608341426633642,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/none/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_object_shift_x0.05_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/pol_random_action_p0.25_s1.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_15deg_translate_x0.1_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_rotate_30deg/libero_90_act_seed7/attention_ratio_results_libero_90_act.json | /n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/vis_translate_x0.2_y0.0/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
DreamZero,libero_90_act,random,2,1,,0.0,0.5737738435090969,,/n/holylfs06/LABS/sham_lab/Users/chloe00/vla-interp/results/attention/ratio/dreamzero/perturb/prompt_random/libero_90_act_seed7/attention_ratio_results_libero_90_act.json
